epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,11130.9,1.06502,0.75649,1.18759,0.92725,0.82064,0.87785,0.66647,0.94703,0.57576,1.13523,0.006535,0.006535,0.006535
107,11237,1.06035,0.74211,1.17648,0.94391,0.80131,0.87676,0.66701,0.94287,0.57112,1.1368,0.006502,0.006502,0.006502
108,11344.6,1.06104,0.7406,1.17907,0.94236,0.80857,0.87749,0.66792,0.94246,0.56964,1.13509,0.006469,0.006469,0.006469
109,11449.8,1.05606,0.73812,1.18223,0.94664,0.8063,0.87796,0.6703,0.93239,0.56879,1.13019,0.006436,0.006436,0.006436
110,11554.8,1.04747,0.73068,1.18327,0.94514,0.8034,0.87472,0.66204,0.95666,0.57679,1.14258,0.006403,0.006403,0.006403
111,11659.7,1.06217,0.73649,1.18101,0.95321,0.79653,0.87357,0.66874,0.93595,0.57579,1.1308,0.00637,0.00637,0.00637
112,11764.7,1.05388,0.74554,1.17391,0.93391,0.81503,0.8758,0.66743,0.93956,0.57686,1.13072,0.006337,0.006337,0.006337
113,11869.8,1.05506,0.74718,1.17703,0.94603,0.80636,0.8792,0.67013,0.92569,0.56347,1.12366,0.006304,0.006304,0.006304
114,11975.1,1.04579,0.72768,1.17724,0.94308,0.80823,0.87711,0.67017,0.92141,0.56223,1.12071,0.006271,0.006271,0.006271
115,12080.2,1.05167,0.7278,1.17346,0.93759,0.80993,0.87691,0.67189,0.91734,0.55765,1.12001,0.006238,0.006238,0.006238
116,12185.4,1.0533,0.73192,1.17336,0.93558,0.82113,0.88106,0.6751,0.90815,0.55633,1.11252,0.006205,0.006205,0.006205
117,12290.4,1.03985,0.72157,1.16839,0.94952,0.8096,0.87868,0.67549,0.90647,0.55281,1.11149,0.006172,0.006172,0.006172
118,12395.5,1.03425,0.71804,1.169,0.9507,0.80471,0.87796,0.67572,0.90628,0.54993,1.11106,0.006139,0.006139,0.006139
119,12500.4,1.03953,0.71214,1.16504,0.95084,0.80326,0.87853,0.67476,0.90607,0.54924,1.11114,0.006106,0.006106,0.006106
120,12605.4,1.03141,0.71793,1.16528,0.94145,0.81569,0.8772,0.67767,0.8924,0.54705,1.1046,0.006073,0.006073,0.006073
121,12710.3,1.01875,0.69917,1.15249,0.95405,0.80651,0.87858,0.67505,0.89876,0.54925,1.10759,0.00604,0.00604,0.00604
122,12815.3,1.02298,0.70853,1.15941,0.93975,0.81191,0.87625,0.67425,0.90147,0.5474,1.10818,0.006007,0.006007,0.006007
123,12920.1,1.02475,0.71009,1.15803,0.94635,0.80449,0.87514,0.67496,0.89754,0.54985,1.10405,0.005974,0.005974,0.005974
124,13025,1.01109,0.69398,1.14368,0.95169,0.79941,0.87505,0.67623,0.89671,0.54486,1.10407,0.005941,0.005941,0.005941
125,13130,1.01773,0.7002,1.15259,0.94484,0.81384,0.87914,0.68022,0.89229,0.54161,1.10441,0.005908,0.005908,0.005908
126,13235,1.0075,0.68992,1.14401,0.95477,0.8011,0.87766,0.67896,0.89503,0.53938,1.10446,0.005875,0.005875,0.005875
127,13339.8,1.0144,0.70096,1.15162,0.94592,0.80937,0.87652,0.67841,0.88748,0.53598,1.0998,0.005842,0.005842,0.005842
128,13444.7,1.01489,0.69398,1.15362,0.94796,0.80718,0.87855,0.68214,0.88427,0.53673,1.09616,0.005809,0.005809,0.005809
129,13549.7,1.01262,0.69646,1.15383,0.94127,0.80941,0.87861,0.68131,0.8871,0.53418,1.09779,0.005776,0.005776,0.005776
130,13654.6,1.01063,0.68637,1.14556,0.94819,0.80797,0.87695,0.68187,0.88401,0.53731,1.09852,0.005743,0.005743,0.005743
131,13759.6,1.00265,0.69159,1.14432,0.94761,0.8074,0.87774,0.68201,0.88844,0.53829,1.0999,0.00571,0.00571,0.00571
132,13864.8,0.99321,0.6744,1.13797,0.94616,0.80691,0.87588,0.68299,0.88454,0.54341,1.09619,0.005677,0.005677,0.005677
133,13969.8,0.99625,0.67187,1.13676,0.95258,0.79862,0.87449,0.68165,0.88282,0.54043,1.095,0.005644,0.005644,0.005644
134,14074.7,0.98698,0.67884,1.1346,0.95316,0.80125,0.87672,0.6855,0.87584,0.53417,1.09114,0.005611,0.005611,0.005611
135,14179.7,0.99509,0.68193,1.13435,0.9519,0.80403,0.87934,0.68626,0.87574,0.53169,1.09019,0.005578,0.005578,0.005578
